Token,Count,Percentage
is_archived,53922,62.657014373859795
status,43269,50.27829744710024
monitor_id,28484,33.09822331191392
internal_id,15279,17.75409893212796
type,14518,16.869821866393984
security_signal_id,10156,11.801206149269687
project,9493,11.03080444811118
responder.uuid,7029,8.167652424499472
monitor_groups,6034,7.011468876003672
error_tracking_issue_id,4682,5.440453642268676
title,2420,2.8120243089043564
host,1509,1.753448215758956
env,1263,1.4675978108042158
rule_id,1227,1.4257660442254734
assignee,961,1.1166757689492093
created_at,752,0.8738191240892876
service,587,0.6820901939367179
region,559,0.6495543754865848
creation_source,553,0.6425824143901278
kube_namespace,503,0.5844827385863187
kube_cluster_name,475,0.5519469201361857
resource_name,410,0.47641734159123394
device,392,0.45550145830186267
pod_name,353,0.4101837111748916
name,314,0.3648659640479206
account_alias,307,0.35673200943538735
sdlc,290,0.3369781196620923
team,288,0.3346541326299399
short_image,288,0.3346541326299399
sbc_ipaddress,285,0.33116815208171135
kube_container_name,269,0.3125762558244925
sbc_hostname,244,0.283526417922588
device_name,223,0.2591245540849882
sbc_systemapplication,215,0.24982860595637876
sbc_level,212,0.24634262540815022
hostname,211,0.24518063189207404
sbc_env,206,0.23937066431169315
notif_reg,190,0.22077876805447427
notif_cust,190,0.22077876805447427
urgency,166,0.1928909236686459
project_id,162,0.1882429496043412
environment,142,0.1650030792828176
modified_at,131,0.15222115060597963
zone,131,0.15222115060597963
application,120,0.13943922192914163
aws_account,118,0.13711523489698926
mount,103,0.11968533215584658
applicationid,100,0.11619935160761803
http.status_code,100,0.11619935160761803
issue.id,98,0.11387536457546567
haproxy_service,96,0.11155137754331332
topic,96,0.11155137754331332
queue,91,0.10574140996293241
consumer_group_id,87,0.1010934358986277
tenant,87,0.1010934358986277
kube_deployment,86,0.09993144238255151
story_key,80,0.09295948128609442
location,77,0.08947350073786588
story_type,76,0.0883115072217897
operation,74,0.08598752018963735
priority,71,0.0825015396414088
database_instance,70,0.08133954612533262
filesystem,68,0.07901555909318025
instance,64,0.07436758502887554
location_id,59,0.06855761744849463
status_code,58,0.06739562393241846
resource_id,56,0.0650716369002661
queuename,54,0.06274764986811374
supplier_name,53,0.061585656352037554
endpoint,46,0.053451701739504295
module,45,0.052289708223428114
http.path_group,45,0.052289708223428114
customer,45,0.052289708223428114
product,45,0.052289708223428114
task,45,0.052289708223428114
timestamp,45,0.052289708223428114
action,43,0.04996572119127576
consumer_group,43,0.04996572119127576
hystrixcircuit,40,0.04647974064304721
stream_name,40,0.04647974064304721
functionname,40,0.04647974064304721
resource_group,37,0.04299376009481867
db_service,37,0.04299376009481867
domain,36,0.04183176657874249
provider,34,0.03950777954659013
bosh_ip,34,0.03950777954659013
bosh_deployment,34,0.03950777954659013
currency,34,0.03950777954659013
app_to,33,0.03834578603051395
app_from,33,0.03834578603051395
pl,33,0.03834578603051395
subscription_name,33,0.03834578603051395
closed_at,33,0.03834578603051395
backendsettingspool,33,0.03834578603051395
systemapplication,32,0.03718379251443777
application_level,32,0.03718379251443777
