Filter,Count,Percentage
is_archived,59251,59.34654794218692
status,55299,55.38817496168832
monitor_id,32138,32.18982561924699
type,16369,16.395396588507495
internal_id,15510,15.535011368302968
responder.uuid,14214,14.236921443524073
security_signal_id,10543,10.560001602580154
project,10220,10.236480733981711
monitor_groups,7331,7.342821943328759
error_tracking_issue_id,4792,4.799727561373812
title,2429,2.4329169963641464
host,1509,1.5114334077865363
env,1299,1.301094762567734
rule_id,1237,1.2389947815983733
assignee,1011,1.012630334839091
datacenter,984,0.9855867947395307
created_at,805,0.8062981400054088
service,792,0.7932771762537686
creation_source,751,0.7522110598062881
kube_cluster_name,628,0.6290127104638468
region,562,0.5629062791093661
kube_namespace,552,0.552890153146566
resource_name,415,0.4156692274562045
pod_name,396,0.3966385881268843
device,392,0.3926321377417642
name,342,0.3425515079277637
team,337,0.3375434449463637
account_alias,307,0.30749506705796337
sdlc,290,0.29046765292120313
short_image,288,0.2884644277286431
sbc_ipaddress,285,0.2854595899398031
kube_container_name,269,0.2694337883993229
sbc_hostname,244,0.24439347349232265
device_name,223,0.2233596089704424
sbc_systemapplication,215,0.21534670820020232
sbc_level,212,0.2123418704113623
hostname,211,0.21134025781508226
sbc_env,206,0.2063321948336822
notif_cust,190,0.19030639329320204
notif_reg,190,0.19030639329320204
urgency,172,0.17227736656016188
project_id,165,0.16526607838620178
environment,145,0.14523382646060157
fingerprint_fqn,139,0.1392241508829215
closed_at,132,0.13221286270896143
zone,131,0.13121125011268142
modified_at,131,0.13121125011268142
kube_deployment,128,0.1282064123238414
application,120,0.12019351155360129
aws_account,118,0.11819028636104129
topic,117,0.11718867376476128
issue.id,116,0.11618706116848125
mount,103,0.1031660974168411
applicationid,100,0.10016125962800108
http.status_code,100,0.10016125962800108
haproxy_service,96,0.09615480924288104
queue,91,0.09114674626148099
tenant,87,0.08714029587636093
consumer_group_id,87,0.08714029587636093
story_key,80,0.08012900770240086
location,77,0.07712416991356083
story_type,76,0.07612255731728082
operation,74,0.0741193321247208
priority,73,0.07311771952844079
database_instance,70,0.07011288173960076
filesystem,68,0.06810965654704074
instance,64,0.0641032061619207
release,62,0.06209998096936067
consumer_group,60,0.060096755776800646
cluster,59,0.05909514318052064
location_id,59,0.05909514318052064
status_code,58,0.058093530584240625
resource_id,56,0.05609030539168061
reason,56,0.05609030539168061
queuename,54,0.05408708019912058
supplier_name,53,0.05308546760284057
pipeline_job_id,50,0.05008062981400054
kafka_topic,47,0.04707579202516051
endpoint,46,0.0460741794288805
http.path_group,45,0.04507256683260048
customer,45,0.04507256683260048
test_service,45,0.04507256683260048
task,45,0.04507256683260048
timestamp,45,0.04507256683260048
fingerprint,45,0.04507256683260048
repository_id,45,0.04507256683260048
product,45,0.04507256683260048
module,45,0.04507256683260048
action,43,0.04306934164004047
job_name,43,0.04306934164004047
postgres_cluster,43,0.04306934164004047
slot_name,41,0.04106611644748044
hystrixcircuit,40,0.04006450385120043
stream_name,40,0.04006450385120043
functionname,40,0.04006450385120043
cluster_name,39,0.03906289125492042
resource_group,37,0.0370596660623604
db_service,37,0.0370596660623604
domain,36,0.03605805346608039
kafka_cluster,35,0.03505644086980038
cell,35,0.03505644086980038
provider,34,0.03405482827352037
bosh_deployment,34,0.03405482827352037
bosh_ip,34,0.03405482827352037
currency,34,0.03405482827352037
pl,33,0.03305321567724036
app_from,33,0.03305321567724036
subscription_name,33,0.03305321567724036
backendsettingspool,33,0.03305321567724036
app_to,33,0.03305321567724036
application_level,32,0.03205160308096035
rke2_type,32,0.03205160308096035
ip_address,32,0.03205160308096035
certificate,32,0.03205160308096035
directory_path,32,0.03205160308096035
systemapplication,32,0.03205160308096035
certificate_type,32,0.03205160308096035
dbinstanceidentifier,30,0.030048377888400323
store,30,0.030048377888400323
database_id,29,0.029046765292120313
flavor,29,0.029046765292120313
kube_app_name,28,0.028045152695840306
process,27,0.02704354009956029
targetgroup,27,0.02704354009956029
is_canary,25,0.02504031490700027
source,25,0.02504031490700027
schedule_id,25,0.02504031490700027
stack,25,0.02504031490700027
kube_app_instance,24,0.02403870231072026
job_active_status,24,0.02403870231072026
logs_cell_name,24,0.02403870231072026
job_user,24,0.02403870231072026
job_id,24,0.02403870231072026
subsystem_name,24,0.02403870231072026
path,24,0.02403870231072026
bank_name,23,0.02303708971444025
hostaddress,23,0.02303708971444025
shard,23,0.02303708971444025
group,22,0.022035477118160236
client,21,0.021033864521880226
devicetype,20,0.020032251925600215
app,19,0.019030639329320205
activity,19,0.019030639329320205
attr.ns,19,0.019030639329320205
