Token,Count,Percentage
project,51717,55.87825354121422
is_archived,49349,53.31971951206336
status,43021,46.48255594092034
title,26821,28.979071450952425
assignee,6297,6.80366924897086
creation_source,6242,6.7442438386654135
team,1204,1.300876254686504
env,551,0.5953345650600197
priority,459,0.4959320605490908
urgency,293,0.3165753676271974
service,267,0.28848335548280446
project_id,184,0.19880500902185771
app_name,107,0.11560943459423251
group,107,0.11560943459423251
is_escalated,68,0.07347141637764308
resolved_reason,37,0.03997709420548226
type,37,0.03997709420548226
third_party_vendor_name,8,0.008643696044428597
created_by,7,0.007563234038875022
region,6,0.006482772033321448
integration,5,0.0054023100277678735
date,3,0.003241386016660724
responder.email,2,0.0021609240111071493
cpg_source,1,0.0010804620055535747
IN_PROGRESSORstatus,1,0.0010804620055535747
20service,1,0.0010804620055535747
source,1,0.0010804620055535747
operation_name,1,0.0010804620055535747
responder.name,1,0.0010804620055535747
https,1,0.0010804620055535747
