Filter,Count,Percentage
project,56100,57.14402126857689
is_archived,54723,55.74139529198455
status,43614,44.425656748800584
title,26824,27.323194768419018
assignee,6954,7.083413973292045
creation_source,6242,6.35816364988337
team,1325,1.3496582563433939
env,607,0.6182962729059924
service,510,0.5194911024416082
priority,460,0.46856060220223483
project_id,418,0.4257789820011612
urgency,301,0.3066016114410276
cpg_source,188,0.1914986809000438
group,107,0.10899127051225896
app_name,107,0.10899127051225896
is_escalated,106,0.1079726605074715
created_by,83,0.08454463039735977
datacenter,56,0.05704216026809815
resolved_reason,37,0.03768857017713628
type,37,0.03768857017713628
created_at,35,0.035651350167561345
third_party_vendor_name,8,0.008148880038299736
region,6,0.006111660028724803
integration,5,0.005093050023937335
date,3,0.0030558300143624013
responder.email,2,0.002037220009574934
IN_PROGRESSORstatus,1,0.001018610004787467
20service,1,0.001018610004787467
source,1,0.001018610004787467
operation_name,1,0.001018610004787467
acceleration,1,0.001018610004787467
responder.name,1,0.001018610004787467
https,1,0.001018610004787467
