Token Tuple,Count,Percentage
"{monitor_id, status, is_archived}",22297,25.90896942795059
{internal_id},15246,17.715753146097445
"{is_archived, security_signal_id}",10156,11.801206149269687
"{responder.uuid, status}",6823,7.928281760187778
{error_tracking_issue_id},4682,5.440453642268676
"{status, type, is_archived}",4176,4.852484923134129
"{project, type, is_archived}",3694,4.29240404838541
"{project, is_archived}",2216,2.5749776316248156
{is_archived},1600,1.8591896257218885
"{project, title}",1328,1.5431273893491673
"{status, title}",1020,1.1852333863977038
"{monitor_id, type, monitor_groups, is_archived, status, host}",754,0.8761431111214399
"{status, project, is_archived}",745,0.8656851694767544
"{rule_id, is_archived}",738,0.857551214864221
{status},733,0.8517412472838403
"{project, is_archived, assignee}",651,0.7564577789655934
"{status, creation_source, rule_id, is_archived}",487,0.5658908423290998
"{monitor_id, type, monitor_groups, is_archived, status, resource_name}",288,0.3346541326299399
"{type, project, created_at, is_archived}",257,0.2986323336315783
"{monitor_id, kube_cluster_name, pod_name, type, monitor_groups, sdlc, is_archived, status, account_alias, short_image, env, kube_container_name, kube_namespace}",251,0.2916603725351212
"{monitor_id, type, monitor_groups, is_archived, notif_reg, status, notif_cust}",190,0.22077876805447427
"{monitor_id, type, monitor_groups, is_archived, hostname, status}",170,0.19753889773295066
"{status, project, is_archived, assignee}",158,0.18359497554003648
"{monitor_id, is_archived}",153,0.17778500795965557
"{monitor_id, type, monitor_groups, is_archived, service, status}",143,0.16616507279889378
"{type, project, created_at}",133,0.15454513763813196
"{type, project_id, is_archived, modified_at, status, created_at}",131,0.15222115060597963
"{monitor_id, type, monitor_groups, is_archived, status, device, host}",130,0.15105915708990345
"{responder.uuid, status, urgency}",124,0.14408719599344635
"{monitor_id, name, type, monitor_groups, is_archived, status}",121,0.1406012154452178
"{monitor_id, status, monitor_groups, is_archived}",106,0.12317131270407511
"{monitor_id, env, type, monitor_groups, is_archived, status}",105,0.12200931918799893
{assignee},103,0.11968533215584658
"{monitor_id, device_name, type, monitor_groups, environment, is_archived, status, device, applicationid, zone, name, aws_account, region, host}",100,0.11619935160761803
"{team, status}",97,0.11271337105938949
"{monitor_id, type, monitor_groups, is_archived, issue.id, status}",97,0.11271337105938949
"{monitor_id, type, monitor_groups, is_archived, status, haproxy_service}",96,0.11155137754331332
"{status, is_archived}",95,0.11038938402723714
"{type, status, project, created_at}",93,0.10806539699508477
"{monitor_id, kube_cluster_name, type, monitor_groups, is_archived, status, env, kube_namespace}",91,0.10574140996293241
"{monitor_id, device_name, type, monitor_groups, is_archived, sbc_hostname, sbc_systemapplication, status, sbc_env, sbc_level, sbc_ipaddress, host}",80,0.09295948128609442
"{monitor_id, queue, type, monitor_groups, is_archived, status, host}",79,0.09179748777001824
"{monitor_id, story_key, type, monitor_groups, is_archived, status, story_type}",76,0.0883115072217897
"{monitor_id, type, monitor_groups, is_archived, filesystem, device, sbc_hostname, sbc_systemapplication, status, sbc_env, sbc_level, sbc_ipaddress, mount}",68,0.07901555909318025
"{monitor_id, type, monitor_groups, is_archived, service, status, resource_name, env}",64,0.07436758502887554
"{monitor_id, type, monitor_groups, is_archived, location_id, status}",59,0.06855761744849463
"{monitor_id, type, monitor_groups, is_archived, application, status, status_code, region, tenant}",58,0.06739562393241846
"{monitor_id, type, monitor_groups, is_archived, service, status, location, env}",54,0.06274764986811374
"{supplier_name, operation, monitor_id, type, monitor_groups, is_archived, status}",53,0.061585656352037554
{team},51,0.0592616693198852
"{monitor_id, instance, type, monitor_groups, is_archived, status, host}",47,0.05461369525558048
"{monitor_id, product, module, type, monitor_groups, is_archived, status, region}",45,0.052289708223428114
"{monitor_id, env, type, monitor_groups, is_archived, status, task}",45,0.052289708223428114
"{monitor_id, type, monitor_groups, is_archived, http.path_group, status}",45,0.052289708223428114
"{monitor_id, type, monitor_groups, is_archived, consumer_group_id, status, env, resource_id}",45,0.052289708223428114
"{project, type, is_archived, status, created_at}",45,0.052289708223428114
"{monitor_id, type, monitor_groups, is_archived, status, timestamp}",45,0.052289708223428114
"{monitor_id, type, monitor_groups, is_archived, service, status, env, action, region}",43,0.04996572119127576
"{monitor_id, type, monitor_groups, is_archived, status, device, sbc_ipaddress, host}",42,0.04880372767519957
"{monitor_id, type, monitor_groups, is_archived, consumer_group_id, status}",42,0.04880372767519957
"{monitor_id, type, monitor_groups, is_archived, status, sbc_hostname, sbc_ipaddress}",41,0.04764173415912339
"{monitor_id, database_instance, type, monitor_groups, is_archived, status, host}",41,0.04764173415912339
"{monitor_id, type, monitor_groups, is_archived, stream_name, status}",40,0.04647974064304721
"{monitor_id, type, monitor_groups, is_archived, functionname, status}",39,0.04531774712697103
"{monitor_id, type, monitor_groups, queuename, is_archived, service, status, env, region}",39,0.04531774712697103
"{db_service, monitor_id, type, monitor_groups, is_archived, status}",37,0.04299376009481867
"{team, responder.uuid, status}",36,0.04183176657874249
"{monitor_id, type, monitor_groups, is_archived, status, host, mount}",35,0.04066977306266631
"{monitor_id, type, monitor_groups, is_archived, bosh_deployment, bosh_ip, status}",34,0.03950777954659013
"{monitor_id, type, monitor_groups, is_archived, subscription_name, status, backendsettingspool, name, resource_group}",33,0.03834578603051395
"{team, responder.uuid, status, urgency}",33,0.03834578603051395
"{app_to, monitor_id, type, monitor_groups, is_archived, status, app_from}",33,0.03834578603051395
"{monitor_id, pl, type, monitor_groups, is_archived, status}",33,0.03834578603051395
"{is_archived, internal_id}",33,0.03834578603051395
"{monitor_id, type, monitor_groups, is_archived, status, region}",33,0.03834578603051395
"{monitor_id, monitor_groups, is_archived}",33,0.03834578603051395
"{closed_at, status, creation_source, is_archived}",33,0.03834578603051395
"{monitor_id, type, monitor_groups, is_archived, service, status, kube_namespace}",32,0.03718379251443777
"{monitor_id, certificate, type, monitor_groups, is_archived, hostname, status, certificate_type, ip_address, directory_path, env, rke2_type, application_level, systemapplication}",32,0.03718379251443777
"{monitor_id, type, monitor_groups, topic, is_archived, status, consumer_group, env, region}",31,0.03602179899836159
"{monitor_id, type, monitor_groups, is_archived, service, status, http.status_code}",31,0.03602179899836159
"{priority, type, project, is_archived, status, created_at}",31,0.03602179899836159
"{monitor_id, type, monitor_groups, provider, is_archived, currency, status}",31,0.03602179899836159
"{monitor_id, type, monitor_groups, is_archived, status, application, region}",30,0.03485980548228541
"{monitor_id, zone, type, monitor_groups, is_archived, status}",30,0.03485980548228541
"{monitor_id, kube_cluster_name, type, monitor_groups, is_archived, kube_deployment, service, status, domain}",30,0.03485980548228541
"{status, priority, is_archived}",30,0.03485980548228541
"{type, created_at, assignee}",29,0.03369781196620923
"{status, creation_source, is_archived}",29,0.03369781196620923
