Token Tuple,Count,Percentage
"{monitor_id, is_archived, status}",24654,24.693756948687387
{internal_id},15443,15.467903324352205
"{responder.uuid, status}",14001,14.02357796051643
"{security_signal_id, is_archived}",10543,10.560001602580154
{error_tracking_issue_id},4792,4.799727561373812
"{type, is_archived, status}",4280,4.286901912078446
"{type, is_archived, project}",4091,4.097597131381525
"{is_archived, project}",2391,2.394855717705506
{is_archived},1669,1.671691423191338
{status},1543,1.5454882360600566
"{title, project}",1328,1.3301415278598543
"{title, status}",1020,1.021644848205611
"{is_archived, status, project}",791,0.7922755636574885
"{type, monitor_id, is_archived, monitor_groups, status, host}",754,0.7552158975951282
"{is_archived, rule_id}",748,0.7492062220174481
"{is_archived, assignee, project}",688,0.6891094662406475
"{creation_source, is_archived, rule_id, status}",487,0.4877853343883653
"{type, monitor_id, is_archived, monitor_groups, datacenter, status}",483,0.48377888400324526
"{resource_name, type, monitor_id, is_archived, monitor_groups, status}",288,0.2884644277286431
"{created_at, type, is_archived, project}",286,0.2864612025360831
"{kube_container_name, monitor_id, is_archived, kube_cluster_name, kube_namespace, env, type, sdlc, monitor_groups, pod_name, short_image, status, account_alias}",251,0.25140476166628273
"{type, monitor_id, is_archived, monitor_groups, service, status}",226,0.2263644467592824
"{type, notif_cust, monitor_id, is_archived, monitor_groups, status, notif_reg}",190,0.19030639329320204
"{type, monitor_id, is_archived, monitor_groups, status, hostname}",170,0.17027414136760183
"{is_archived, assignee, project, status}",159,0.1592564028085217
"{created_at, type, project}",154,0.15424833982712166
"{monitor_id, is_archived}",153,0.15324672723084165
"{is_archived, fingerprint_fqn}",139,0.1392241508829215
"{closed_at, creation_source, status, is_archived}",132,0.13221286270896143
"{type, is_archived, modified_at, status, created_at, project_id}",131,0.13121125011268142
"{type, monitor_id, is_archived, monitor_groups, status, host, device}",130,0.1302096375164014
"{is_archived, creation_source, status}",128,0.1282064123238414
"{responder.uuid, urgency, status}",124,0.12419996193872133
"{type, monitor_id, is_archived, monitor_groups, status, name}",121,0.1211951241498813
"{type, issue.id, monitor_id, is_archived, monitor_groups, status}",115,0.11518544857220124
"{status, team}",107,0.10717254780196117
"{is_archived, monitor_id, monitor_groups, status}",106,0.10617093520568115
"{type, monitor_id, is_archived, monitor_groups, status, env}",105,0.10516932260940114
{assignee},105,0.10516932260940114
"{applicationid, zone, monitor_id, aws_account, device_name, region, is_archived, name, device, type, monitor_groups, environment, status, host}",100,0.10016125962800108
"{type, monitor_id, is_archived, monitor_groups, status, haproxy_service}",96,0.09615480924288104
"{is_archived, status}",95,0.09515319664660102
"{created_at, type, status, project}",93,0.093149971454041
"{monitor_id, is_archived, kube_cluster_name, kube_namespace, env, type, monitor_groups, status}",91,0.09114674626148099
"{monitor_id, device_name, sbc_systemapplication, is_archived, sbc_ipaddress, type, sbc_env, monitor_groups, status, sbc_hostname, host, sbc_level}",80,0.08012900770240086
"{type, monitor_id, queue, is_archived, monitor_groups, status, host}",79,0.07912739510612085
"{type, monitor_id, is_archived, monitor_groups, story_key, status, story_type}",76,0.07612255731728082
"{monitor_id, sbc_systemapplication, filesystem, is_archived, sbc_ipaddress, device, type, sbc_env, monitor_groups, mount, sbc_hostname, status, sbc_level}",68,0.06810965654704074
"{internal_id, is_archived}",67,0.06710804395076073
"{resource_name, monitor_id, is_archived, env, type, monitor_groups, service, status}",64,0.0641032061619207
"{type, monitor_id, is_archived, monitor_groups, location_id, status}",59,0.05909514318052064
"{region, monitor_id, is_archived, type, monitor_groups, status, tenant, application, status_code}",58,0.058093530584240625
"{type, monitor_id, is_archived, monitor_groups, status, kube_cluster_name}",56,0.05609030539168061
"{monitor_id, location, is_archived, env, type, monitor_groups, service, status}",54,0.05408708019912058
"{type, monitor_id, is_archived, monitor_groups, status, operation, supplier_name}",53,0.05308546760284057
{team},51,0.051082242410280546
"{type, monitor_id, is_archived, monitor_groups, datacenter, status, pipeline_job_id}",50,0.05008062981400054
"{type, monitor_id, is_archived, monitor_groups, status, host, instance}",47,0.04707579202516051
"{type, monitor_id, timestamp, is_archived, monitor_groups, status}",45,0.04507256683260048
"{region, monitor_id, is_archived, type, monitor_groups, status, module, product}",45,0.04507256683260048
"{type, monitor_id, is_archived, monitor_groups, status, http.path_group}",45,0.04507256683260048
"{monitor_id, consumer_group_id, is_archived, env, resource_id, type, monitor_groups, status}",45,0.04507256683260048
"{is_archived, repository_id, test_service, env, fingerprint}",45,0.04507256683260048
"{type, monitor_id, is_archived, monitor_groups, task, status, env}",45,0.04507256683260048
"{type, is_archived, status, project, created_at}",45,0.04507256683260048
"{region, monitor_id, action, is_archived, env, type, monitor_groups, service, status}",43,0.04306934164004047
"{monitor_id, is_archived, sbc_ipaddress, device, type, monitor_groups, status, host}",42,0.04206772904376045
"{type, monitor_id, is_archived, consumer_group_id, monitor_groups, status}",42,0.04206772904376045
"{type, monitor_id, is_archived, monitor_groups, status, sbc_ipaddress, sbc_hostname}",41,0.04106611644748044
"{database_instance, type, monitor_id, is_archived, monitor_groups, status, host}",41,0.04106611644748044
"{responder.uuid, status, team}",41,0.04106611644748044
"{monitor_id, postgres_cluster, slot_name, is_archived, datacenter, kube_cluster_name, type, monitor_groups, pod_name, status}",41,0.04106611644748044
