Token Tuple,Count,Percentage
"{project, is_archived}",26124,28.225989433081583
"{title, status}",16874,18.23171588171102
"{status, project, is_archived}",10009,10.814344213585729
"{title, project}",9507,10.271952286797834
"{status, creation_source}",6066,6.554082525687985
{status},5802,6.26884055622184
{is_archived},4541,4.906377967218782
"{assignee, project, is_archived}",3533,3.8172722656207796
"{status, is_archived}",2517,2.7195228679783474
{assignee},1698,1.8346244854299698
{project},493,0.5326677687379123
"{assignee, status, project, is_archived}",484,0.5229436106879302
{team},482,0.5207826866768229
"{assignee, is_archived}",426,0.46027681436582285
"{status, project}",275,0.297127051527233
{title},235,0.25390857130509004
"{status, project, team, is_archived}",225,0.24310395124955433
"{project, is_archived, service}",212,0.22905794517735784
"{priority, project, is_archived}",199,0.21501193910516136
"{status, urgency}",181,0.19556362300519703
"{project, is_archived, creation_source}",155,0.1674716108608041
{env},114,0.12317266863310751
"{status, team, urgency}",112,0.12101174462200036
"{env, app_name, group}",107,0.11560943459423251
"{project_id, is_archived}",95,0.10264389052758958
"{priority, is_archived}",89,0.09616111849426816
"{assignee, env, project, is_archived}",82,0.08859788445539313
"{team, is_archived}",73,0.07887372640541095
"{status, priority, is_archived}",71,0.07671280239430381
"{assignee, status, is_archived}",64,0.06914956835542878
"{team, project, status, env, is_archived}",62,0.06698864434432164
"{env, team, project, is_archived}",62,0.06698864434432164
"{team, project, is_archived}",52,0.05618402428878589
"{status, team}",49,0.05294263827212516
"{status, project, is_archived, priority}",46,0.04970125225546443
"{is_escalated, project}",44,0.047540328244357284
"{title, project, status, env, is_archived}",37,0.03997709420548226
"{status, title, project, priority, type, env, is_archived}",32,0.03457478417771439
"{team, service}",25,0.027011550138839366
"{project_id, title, status, env, is_archived}",24,0.025931088133285794
"{resolved_reason, title, project, is_archived}",24,0.025931088133285794
{is_escalated},23,0.024850626127732214
"{title, project, is_archived}",22,0.023770164122178642
"{title, status, team}",21,0.02268970211662507
"{project, service}",20,0.021609240111071494
"{status, team, creation_source}",20,0.021609240111071494
"{project_id, status, is_archived, priority}",16,0.017287392088857195
"{title, project_id, is_archived}",15,0.01620693008330362
"{team, env}",13,0.014046006072196473
"{resolved_reason, project_id, is_archived, title}",13,0.014046006072196473
"{project_id, status, is_archived}",11,0.011885082061089321
"{third_party_vendor_name, title, status, project}",8,0.008643696044428597
"{assignee, is_archived, service}",8,0.008643696044428597
"{created_by, is_archived}",7,0.007563234038875022
{region},6,0.006482772033321448
"{project_id, integration, env, is_archived}",4,0.004321848022214299
"{status, project_id, title, priority, type, env, is_archived}",4,0.004321848022214299
"{env, status, project}",3,0.003241386016660724
"{date, team}",3,0.003241386016660724
"{assignee, env, is_archived}",2,0.0021609240111071493
"{responder.email, team}",2,0.0021609240111071493
"{title, is_archived}",2,0.0021609240111071493
"{title, status, project}",2,0.0021609240111071493
"{status, env}",2,0.0021609240111071493
"{is_archived, project, service, cpg_source}",1,0.0010804620055535747
"{status, IN_PROGRESSORstatus}",1,0.0010804620055535747
"{is_escalated, creation_source}",1,0.0010804620055535747
"{project, 20service}",1,0.0010804620055535747
"{status, project, priority, env, is_archived}",1,0.0010804620055535747
"{type, project, is_archived}",1,0.0010804620055535747
{source},1,0.0010804620055535747
"{project_id, integration, is_archived}",1,0.0010804620055535747
"{operation_name, env, service}",1,0.0010804620055535747
"{status, team, is_archived}",1,0.0010804620055535747
"{project_id, priority, is_archived}",1,0.0010804620055535747
"{team, responder.name}",1,0.0010804620055535747
{https},1,0.0010804620055535747
"{title, team}",1,0.0010804620055535747
"{env, status, project, is_archived}",1,0.0010804620055535747
